Date,Open,High,Low,Close,Volume,log_return,rsi,macd,macd_signal,macd_diff,bb_width,roc,atr,rolling_mean,rolling_std,zscore,label,label_numeric,vix,vix_zscore,vix_sentiment,vix_percentile,price_momentum_sent,rsi_sentiment,composite_sentiment,sentiment_momentum,fear_spike
2007-12-14,6056.2001953125,6078.5498046875,6015.0498046875,6047.7001953125,0,-0.0017181689191183751,61.78446073073872,118.02292483178189,99.4365798758562,18.586344955925696,12.701847108625977,5.51319833962061,137.53502880905287,5828.475,166.90492952096835,1.3134734602608502,Normal,0,17.079999923706055,0.0,0.0,0.5,0.0,0.23568921461477443,0.0,0.0,0.0
2007-12-17,6037.9501953125,6039.9501953125,5740.60009765625,5777.0,0,-0.04579354996855697,47.353883528240345,94.33321038927716,98.4159059785404,-4.082695589263238,12.694997461796124,1.3837841932487167,149.64681944099553,5823.295003255208,165.97722410881263,-0.2789238312893918,Normal,0,17.079999923706055,0.0,0.0,0.5,0.0,-0.052922329435193094,0.0,0.0,0.0
2007-12-18,5777.60009765625,5874.60009765625,5710.60009765625,5742.2998046875,0,-0.006024723874031448,45.874753943863695,71.92976371692475,93.11867752621727,-21.188913809292515,12.747628735405458,2.220719073926212,150.67204662378157,5819.795003255208,166.55963211542675,-0.4652699911945256,Normal,0,17.079999923706055,0.0,0.0,0.5,0.0,-0.0825049211227261,0.0,0.0,0.0
2007-12-19,5730.25,5840.7998046875,5676.7001953125,5751.14990234375,0,0.001540024906528533,46.335160273498914,54.263484071940184,85.34763883536186,-31.08415476342168,12.090104371641083,2.068466309365587,151.63115824886862,5818.616666666667,166.92793807470107,-0.40416700224695207,Normal,0,17.079999923706055,0.0,0.0,0.5,0.0,-0.07329679453002172,0.0,0.0,0.0
2007-12-20,5751.75,5799.5,5742.75,5766.5,0,0.002665492852230834,47.174490492723564,41.02850371785553,76.48381181186059,-35.45530809400506,11.059391823759961,0.06507309878096396,144.8539326596637,5818.088330078125,167.0717033261157,-0.308779578175649,Normal,0,17.079999923706055,0.0,0.0,0.5,0.0,-0.05651019014552872,0.0,0.0,0.0
2007-12-24,5771.2998046875,6001.0498046875,5771.2998046875,5985.10009765625,0,0.03720775294081768,57.39414474032537,47.62984024814159,70.7130174991168,-23.08317725097521,10.513652347100088,2.047742500532822,151.260780661652,5827.633333333333,168.1946479514521,0.9362174494896424,Normal,0,17.079999923706055,0.0,0.0,0.5,0.0,0.14788289480650746,0.0,0.0,0.0
2007-12-26,5988.4501953125,6085.25,5988.4501953125,6070.75,0,0.014209092298361115,60.6096111720952,59.09150819817205,68.38871563892785,-9.297207440755798,10.6584813255341,3.625592509889855,147.61000363894473,5842.754996744791,169.00472116874568,1.3490451726941002,Normal,0,17.079999923706055,0.0,0.0,0.5,0.0,0.212192223441904,0.0,0.0,0.0
2007-12-27,6069.0,6110.85009765625,6060.2001953125,6081.5,0,0.001769220153318622,61.00737332683897,68.2555898319788,68.36209047753803,-0.10650064555923677,10.57562810857003,2.382154882154882,140.6842821178594,5855.625,172.06973533827684,1.3126945279246571,Normal,0,17.079999923706055,0.0,0.0,0.5,0.0,0.22014746653677947,0.0,0.0,0.0
2007-12-28,6079.5498046875,6098.60009765625,6021.89990234375,6079.7001953125,0,-0.00029599129555222127,60.896499989067124,74.51401022718892,69.59247442746822,4.921535799720701,9.830280471443585,2.09918208977841,136.11399020319087,5860.351676432291,176.30323703269067,1.2441548015339985,Normal,0,17.079999923706055,0.0,0.0,0.5,0.0,0.21792999978134248,0.0,0.0,0.0
2007-12-31,6095.0,6167.75,6095.0,6138.60009765625,0,0.009641334258564371,63.25031483346511,83.26673624826981,72.32732679162854,10.939409456641272,9.135474556343445,2.7501179776722657,132.68083409492723,5867.901676432291,183.30644401190506,1.4767534370279845,Normal,0,17.079999923706055,0.0,0.0,0.5,0.0,0.26500629666930225,0.0,0.0,0.0
2008-01-01,6136.75,6165.35009765625,6109.85009765625,6144.35009765625,0,0.0009362572229952578,63.48141939023612,89.63406590867999,75.78867461503883,13.845391293641157,9.016355696080042,3.082743297478584,127.167917373861,5875.818343098958,190.05106952682814,1.4129452426963844,Normal,0,17.079999923706055,0.0,0.0,0.5,0.0,0.26962838780472237,0.0,0.0,0.0
2008-01-02,6144.7001953125,6197.0,6060.85009765625,6179.39990234375,0,0.0056881873117958625,64.92920078008676,96.39723948197934,79.91038758842693,16.486851893552412,9.312457795275314,1.3473271121202182,127.80948772885309,5884.876676432292,197.9332676370269,1.4879925412617323,Normal,0,17.079999923706055,0.0,0.0,0.5,0.0,0.2985840156017352,0.0,0.0,0.0
