Date,Open,High,Low,Close,Volume,log_return,rsi,macd,macd_signal,macd_diff,bb_width,roc,atr
2007-11-02,5854.85009765625,5944.75,5714.25,5932.39990234375,0,0.011179122255211763,71.6038058031201,238.0872458423537,211.96140759833725,26.12583824401645,17.88583616871187,4.6204854068882755,187.5198197723345
2007-11-05,5931.89990234375,5948.5498046875,5819.60009765625,5847.2998046875,0,-0.014448853585763768,66.54150808765692,232.06218572933267,215.98156322453633,16.080622504796338,16.498532135170755,3.162463389996318,183.33624029082847
2007-11-06,5847.10009765625,5957.2001953125,5759.9501953125,5786.5,0,-0.010452364532403112,63.108639315190686,219.84698685398234,216.75464795042552,3.092338903556822,16.064315071252345,4.0868491229943915,184.33008027005502
2007-11-07,5782.39990234375,5861.35009765625,5744.2998046875,5782.35009765625,0,-0.0007174269675405823,62.87022629884713,207.44024923642792,214.89176820762603,-7.451518971198112,15.928649139006392,8.061111897892918,179.52438117710466
2007-11-08,5779.2998046875,5780.7998046875,5646.75,5698.75,0,-0.014563338792940719,58.10779085423529,188.6869256576574,209.65079969763232,-20.96387403997491,15.823835264739566,9.269844753277194,176.38693235418646
2007-11-12,5660.60009765625,5660.60009765625,5477.5,5617.10009765625,0,-0.014431318670424688,53.81974626768808,165.330489895784,200.78673773726268,-35.45624784147867,15.411766566502727,8.35455435293692,179.5914371860303
2007-11-13,5612.35009765625,5758.85009765625,5591.60009765625,5695.39990234375,0,0.01384328046108066,57.08994182035865,151.3933182067576,190.90805383116168,-39.51473562440407,15.419518470584915,4.050271281227761,178.7099059584567
2007-11-14,5703.9501953125,5950.2001953125,5700.0498046875,5937.89990234375,0,0.041696704730231245,65.2883328580057,158.09333106342638,184.34510927761463,-26.25177821418825,15.983279098466769,8.037444535703482,184.14493360204906
2007-11-15,5942.7001953125,5966.9501953125,5895.64990234375,5912.10009765625,0,-0.004354404295861196,63.88974410037285,159.48289140553516,179.37266570319872,-19.889774297663564,16.244872492880365,6.161841824920365,176.084602128242
2007-11-16,5913.14990234375,5948.0498046875,5817.39990234375,5906.85009765625,0,-0.0008884038359657705,63.59122014967851,158.33530601652546,175.1651937658641,-16.82988774933864,15.546613190025607,3.58715430571718,172.83926642934972
2007-11-19,5908.0498046875,5981.7998046875,5893.7998046875,5907.64990234375,0,0.00013539374306526254,63.61910900491383,155.69561178634467,171.27127736996025,-15.575665583615574,13.474747460466935,0.029631386053554927,166.77931882725332
2007-11-20,5911.25,5923.7001953125,5755.7998046875,5780.89990234375,0,-0.02168874166514924,56.263778920768175,141.74205520387932,165.36543293674407,-23.623377732864753,9.95280475805537,-1.4969132720979765,166.85939538423523
2007-11-21,5778.7998046875,5790.0498046875,5530.85009765625,5561.0498046875,0,-0.03877245878036436,46.27098922706833,111.65658792362683,154.62366393412066,-42.96707601049383,9.373914461531546,-5.755299895378645,173.45513193045056
2007-11-22,5564.64990234375,5608.64990234375,5394.35009765625,5519.35009765625,0,-0.007526786806379855,44.65111540877136,83.48644077080917,140.39621930145836,-56.90977853064919,9.206896858583075,-5.916697254731578,176.3726085559541
2007-11-23,5524.2998046875,5638.60009765625,5514.75,5608.60009765625,0,0.01604103400966092,48.78386514100945,67.5840583488498,125.83378711093665,-58.24972876208686,8.998565124558745,-5.4581587556087445,172.62100063454665
2007-11-26,5611.2998046875,5772.5498046875,5608.9501953125,5731.7001953125,0,0.021711053483725266,53.897074487626014,64.1746889327269,113.5019674752947,-49.32727854256781,8.940983151292265,-1.9769742143600937,172.00162252002545
2007-11-27,5729.25,5743.5498046875,5655.60009765625,5698.14990234375,0,-0.005870661301826319,52.36269986294116,58.09581842477837,102.42073766519145,-44.32491924041308,8.851748282174444,-1.5268313774518274,165.99791427082718
2007-11-28,5699.5498046875,5749.9501953125,5595.5,5617.5498046875,0,-0.014245952591277582,48.770601184464375,46.24147256221386,91.18488464459594,-44.94341208238208,9.063615089125339,-2.8500573328402967,165.17307720237523
2007-11-29,5617.7998046875,5725.0,5612.10009765625,5634.60009765625,0,0.003030586361989193,49.55890154346692,37.787048632501865,80.50531744217712,-42.71826880967525,9.021754192185085,-1.1256837436937925,161.43927899818772
2007-11-30,5633.89990234375,5782.5498046875,5632.64990234375,5762.75,0,0.02248861394163216,55.14552453678138,40.95537481604606,72.59532891695092,-31.63995410090486,8.847064305004332,2.5929732390655245,160.61503780858502
2007-12-03,5765.4501953125,5878.7998046875,5754.60009765625,5865.0,0,0.017587690775788836,59.04332203644237,51.12764889356913,68.30179291227456,-17.174144018705434,8.564260600357112,2.9778435327509976,158.01394275306106
2007-12-04,5870.2001953125,5897.25,5840.2998046875,5858.35009765625,0,-0.001134471461070727,58.68614322004522,57.984251486503126,66.23828462712028,-8.254033140617153,8.597463297082877,-1.339695953043952,150.79510365016384
2007-12-05,5861.89990234375,5949.2998046875,5859.9501953125,5940.0,0,0.013841122730185607,61.74610274184706,69.20882690740291,66.83239308317681,2.3764338242260976,9.07069256450312,0.4719118736641559,146.5204324630986
2007-12-06,5941.0498046875,6027.0498046875,5919.7998046875,5954.7001953125,0,0.0024717231296717415,62.2876737200255,78.3869705024672,69.1433085670349,9.2436619354323,9.558939885440182,0.810078076557863,143.71540157287725
2007-12-07,5963.60009765625,6042.10009765625,5894.7998046875,5974.2998046875,0,0.003286046946357429,63.03900648241094,86.24802653988354,72.56425216160463,13.683774378278912,10.0045023362143,1.1281965493132537,143.97146524401103
2007-12-10,5974.0,6015.2998046875,5923.35009765625,5960.60009765625,0,-0.0022957399157566825,62.107593570696146,90.33123596226142,76.11764892173599,14.213587040525425,10.024506507201199,3.108515946447095,140.25562537167096
