Date,Open,High,Low,Close,Volume,log_return,rsi,macd,macd_signal,macd_diff,bb_width,roc,atr
2023-04-20,17638.599609375,17684.44921875,17584.349609375,17624.44921875,215100,0.00032342232975522987,58.47452218071312,116.0117056819654,95.94420462017885,20.067501061786544,7.152399848488111,3.760516371883609,167.30017681101808
2023-04-21,17639.75,17663.19921875,17553.94921875,17624.05078125,230200,-2.260734499433094e-05,58.45052734379027,110.89821320411647,98.93500633696638,11.963206867150092,6.901644203880837,3.966278269946666,163.15373561023105
2023-04-24,17707.55078125,17754.5,17612.5,17743.400390625,255700,0.006749146939408538,63.30758142282351,115.14888493709441,102.177782056992,12.971102880102407,6.8595067043933895,3.879824610151398,161.64275449521455
2023-04-25,17761.55078125,17807.44921875,17716.849609375,17769.25,297400,0.0014557975062981768,64.28149050709143,119.22902239954419,105.58803012550244,13.64099227404175,6.827605561911168,2.358904938147151,156.56824412948495
2023-04-26,17767.30078125,17827.75,17711.19921875,17813.599609375,233000,0.002492753268886545,65.95128601590359,124.6048365735478,109.39139141511151,15.213445158436286,6.6491076476047395,2.388479223045146,153.70985392380746
2023-04-27,17813.099609375,17931.599609375,17797.900390625,17915.05078125,241400,0.005678996739265909,69.46756521338705,135.48962963353915,114.61103905879705,20.878590574742105,6.177705765012798,2.039066836796559,152.28052283996405
2023-04-28,17950.400390625,18089.150390625,17885.30078125,18065.0,290300,0.008335179280697748,73.77799313753783,154.43532108073123,122.57589546318388,31.859425617547345,5.827821926241917,2.64700055988587,155.96402902103804
2023-05-02,18124.80078125,18180.25,18101.75,18147.650390625,265200,0.004564732669242972,75.80549420409577,174.1120584059572,132.88312805173857,41.22893035421865,5.232183499891092,2.970937929502852,153.0558840909639
2023-05-03,18113.80078125,18116.349609375,18042.400390625,18089.849609375,226200,-0.003190111363585117,71.63403445411785,182.93323406354466,142.8931492540998,40.04008480944486,4.569768734951401,2.073934037469123,149.64117808446647
2023-05-04,18081.0,18267.44921875,18066.69921875,18255.80078125,226600,0.009131894646700034,75.75858507145144,200.99797247403694,154.51411389808723,46.48385857594971,4.80734744585616,2.4892792711889067,153.2918082212903
2023-05-05,18117.30078125,18216.94921875,18055.44921875,18069.0,239700,-0.010285117822267788,64.4061405069267,197.95919554522698,163.2031302275152,34.75606531771177,4.574508795829466,1.351806147632937,156.65321924119812
2023-05-08,18120.599609375,18286.94921875,18100.30078125,18264.400390625,228400,0.010756068652657526,69.54683093313257,208.90993771017384,172.34449172404692,36.56544598612692,4.869533688811387,3.148785885405619,161.03150492039825
2023-05-09,18303.400390625,18344.19921875,18229.650390625,18265.94921875,245400,8.479678637020549e-05,69.58432877358025,215.2323922173564,180.9220718227088,34.31032039464759,5.089249146393677,3.4303152279302904,157.71131372072696
2023-05-10,18313.599609375,18326.75,18211.94921875,18315.099609375,220500,0.0026872067245805376,70.81255474736079,221.65392030312432,189.0684415187919,32.58547878433242,5.315718318904707,3.952321301880099,154.6462756871036
2023-05-11,18357.80078125,18389.69921875,18270.400390625,18297.0,248900,-0.0009887229108728535,69.69641588701019,222.7152179665827,195.79779680835009,26.917421158232628,5.517548654522986,3.8160102077658014,152.1214580040962
2023-05-12,18273.75,18342.75,18194.55078125,18314.80078125,241700,0.0009724068345624825,70.19399966445437,222.4286591648306,201.1239692796462,21.304689885184416,5.745947020067142,3.9193600187244124,151.84129805737504
2023-05-15,18339.30078125,18458.900390625,18287.900390625,18398.849609375,216100,0.004578622613795238,72.49082057928979,226.37409757041314,206.1739949377996,20.20010263261355,6.047291099961684,3.694045134078791,153.20977676756254
2023-05-16,18432.349609375,18432.349609375,18264.349609375,18286.5,219500,-0.0061250587396132535,65.25238955932264,217.9231292192817,208.52382179409602,9.399307425185668,6.000195179663959,2.9109275855762062,154.26622128416525
2023-05-17,18300.44921875,18309.0,18115.349609375,18181.75,229900,-0.005744738948538704,59.30632543101071,200.46242034908937,206.9115415050947,-6.449121156005333,5.731549533207069,2.0666816291932855,157.07937623708202
2023-05-18,18287.5,18297.19921875,18104.849609375,18129.94921875,272100,-0.0028531199312594804,56.561461907984494,180.36564970606923,201.60236314528964,-21.23671343922041,5.288378887383025,1.1995413249116436,159.59867860407616
