Date,Open,High,Low,Close,Volume,log_return,rsi,macd,macd_signal,macd_diff,bb_width,roc,atr
2023-04-20,59586.609375,59836.7890625,59489.98046875,59632.3515625,6600,0.0010830655211556469,55.79332957380987,319.18395375387627,275.4660618548809,43.71789189899539,6.914113056237533,3.431673454210974,576.4419053245844
2023-04-21,59538.7890625,59781.359375,59412.80859375,59655.05859375,5700,0.0003807112836891154,56.09090684177936,301.97474666990456,280.7677988178856,21.20694785201897,6.625819499263194,3.543148902794961,561.5925393192568
2023-04-24,59873.7109375,60101.640625,59620.109375,60056.1015625,6600,0.00670020186172664,61.074691225949074,317.0424737075955,288.0227337958276,29.019739911767886,6.56001682673584,3.6163017076068575,555.8738757964528
2023-04-25,60202.76953125,60268.671875,59967.01953125,60130.7109375,6500,0.0012415569234597397,61.94017463518949,331.1863983245057,296.6554667015632,34.53093162294249,6.5027442619721,1.9311104635074336,537.7151949359919
2023-04-26,60087.98046875,60362.7890625,59954.91015625,60300.578125,4500,0.0028209828437740993,63.907793131550605,352.04427560754993,307.7332284827606,44.311047124789354,6.290178003165361,2.020315705597073,528.4411743155639
2023-04-27,60315.55859375,60698.30859375,60271.48828125,60649.37890625,5500,0.005767703548749381,67.6105891634543,392.1985805232471,324.6262988908579,67.57228163238915,5.808740822307949,1.608446026799057,521.1825413287379
2023-04-28,60721.609375,61209.4609375,60507.828125,61112.44140625,7200,0.007606074404076937,71.75368514034041,456.1284652233153,350.9267321573494,105.20173306596587,5.420462420194136,2.1384074415495222,534.0718464123995
2023-05-02,61301.609375,61486.23828125,61255.0,61354.7109375,6700,0.003956486986914656,73.65259220159507,520.3442809116968,384.8102419082189,135.53403900347791,4.837948342896427,2.520112159314841,522.6236341686566
2023-05-03,61274.9609375,61274.9609375,61024.44140625,61193.30078125,6100,-0.002634236938231132,70.26346239709957,551.8499442041793,418.21818236741103,133.6317618367683,4.138533758404258,1.721444982901716,508.8840553887526
2023-05-04,61258.12890625,61797.91015625,61119.55859375,61749.25,8100,0.009044110517378409,74.59897418942671,614.5942056104905,457.493387016027,157.10081859446348,4.433825720582268,2.2460974704067755,520.9888773252703
2023-05-05,61163.1015625,61585.5,61002.171875,61054.2890625,5600,-0.011318376682380765,62.35950496858903,601.3104130586216,486.25679222454596,115.05362083407567,4.235701930566183,1.031406169846602,537.1381093020367
2023-05-08,61166.08984375,61854.19140625,61166.08984375,61764.25,7900,0.011561265112774928,68.114912551355,640.6854035030701,517.1425144802508,123.54288902281928,4.592009951232478,3.0937686475298674,555.9069831911769
2023-05-09,61879.6796875,62027.51171875,61654.94140625,61761.328125,6900,-4.730801579553432e-05,68.06878285404437,664.0004127857246,546.5140941413456,117.48631864437903,4.872375360132408,3.406024088111829,542.8115067132356
2023-05-10,61843.359375,61974.3515625,61572.9296875,61940.19921875,4800,0.0028919807581585274,69.43351407757429,688.9691208386794,575.0050994808124,113.96402135786695,5.153854513648238,3.98268595849648,532.7122473051473
2023-05-11,62158.1015625,62168.21875,61823.0703125,61904.51953125,6100,-0.0005762004039782276,68.8018339243869,697.8337561127628,599.5708308072026,98.2629253055602,5.405402171168877,3.8102940924081556,519.3148323190654
2023-05-12,61857.69140625,62110.9296875,61578.1484375,62027.8984375,7000,0.0019910681810614405,69.82416586008073,706.6686536937486,620.9903953845118,85.67825830923687,5.688661189856383,3.9776003907883175,520.276719296275
2023-05-15,62157.1015625,62562.671875,61950.30078125,62345.7109375,6900,0.005110621028488671,72.33866101372152,730.8899420697999,642.9703047215694,87.91963734823048,6.06273331755747,3.8124508841407536,526.8548889001125
2023-05-16,62474.109375,62475.94921875,61847.41015625,61932.46875,5900,-0.006650301952600813,64.77990719515995,708.5723161015267,656.0907069975609,52.48160910396575,6.037715040554413,2.9964019789700327,534.1180441572474
2023-05-17,61932.3203125,61979.94140625,61340.1015625,61560.640625,6700,-0.006021862280565257,58.823892473226145,653.3505955725268,655.5426847125541,-2.192089140027292,5.765332666353527,2.089635852890092,541.6696012710154
