date,daily_sentiment_index
2008-01-29,-0.15193040346105893
2008-01-30,0.31661960917214554
2008-01-31,0.0762385070323944
2008-02-01,0.10783487947827036
2008-02-04,0.21655023396015166
2008-02-05,0.04148693054037936
2008-02-06,0.1008156148923768
2008-02-07,-0.09445342740842275
2008-02-08,-0.04843121128422873
2008-02-11,-0.08000219816511328
2008-02-12,-0.06782621672997872
2008-02-13,0.03269929758140019
2008-02-14,0.051953868754208085
2008-02-15,-0.35088727325201036
2008-02-18,0.06306659275044997
2008-02-19,0.1381205770054034
2008-02-20,0.0324010755866766
2008-02-21,-0.09832366609147616
2008-02-22,0.018894589350869257
2008-02-25,-0.3338185250759125
2008-02-26,0.007364936172962189
2008-02-27,0.23896913789212704
2008-02-28,0.08880482640649591
2008-02-29,-0.10006614668028695
2008-03-03,-0.0345805361866951
2008-03-04,-0.02491177208721638
2008-03-05,-0.1128910556435585
2008-03-07,0.19630505796521902
2008-03-10,-0.16134557127952576
2008-03-11,0.09985646386356915
2008-03-12,0.17519390606321394
2008-03-13,0.4156492203474045
2008-03-14,0.19688366893678905
2008-03-17,0.19315502792596817
2008-03-18,0.10931385727599263
2008-03-19,-0.09160257503390312
2008-03-24,0.534772127866745
2008-03-25,0.1164323559829167
2008-03-26,0.18104744831529948
2008-03-27,0.033699984475970265
2008-03-28,-0.05445065274834633
2008-03-31,0.12788723719616732
2008-04-01,-0.00537751770267884
2008-04-02,0.04599681310355663
2008-04-03,-0.08379802497273142
2008-04-04,-0.200576239451766
2008-04-07,-0.01895188121125102
2008-04-08,0.14388249069452286
2008-04-09,-0.137931050998824
2008-04-10,0.3762381821870804
2008-04-11,-0.03564267871635301
2008-04-15,-0.2500334344804287
2008-04-16,-0.037473277344057955
2008-04-17,0.29722808727196287
2008-04-21,-0.4196546534076333
2008-04-22,0.2105422316119075
2008-04-23,-0.010685332796790382
2008-04-24,-0.18094592686328623
2008-04-25,-0.1847677037797191
2008-04-28,0.9203803539276123
2008-04-29,-0.09964988856679863
2008-04-30,0.044240531878489434
2008-05-02,0.18179174831935338
2008-05-05,-0.22082219645380974
2008-05-06,0.1680430918931961
2008-05-07,0.08816011332803303
2008-05-08,-0.15560425563969396
2008-05-09,-0.2085314244031906
2008-05-12,-0.17797054971257845
2008-05-13,-0.010644626670650073
2008-05-14,0.05907429791986942
2008-05-15,0.024371118388242193
2008-05-16,0.2282079201605585
2008-05-20,-0.16497105525599587
2008-05-21,0.023317909613251687
2008-05-22,0.15016181601418388
2008-05-23,0.017254578570524853
2008-05-26,0.3096918137744069
2008-05-27,0.07282260287966993
2008-05-28,0.004299783280917576
2008-05-29,0.27744879126548766
2008-05-30,0.07320751319639385
2008-06-02,0.4238678782712668
2008-06-03,0.13615707787019865
2008-06-04,0.05334314191713929
2008-06-05,-0.03484981618821621
2008-06-06,-0.20571202399830024
2008-06-09,0.2352850122584237
2008-06-10,0.2604015007276427
2008-06-11,-0.05621964463757144
2008-06-12,0.13028238984671506
2008-06-13,0.09312534790772659
2008-06-16,-0.07406966044352604
2008-06-17,0.05785957407206297
2008-06-18,0.12208222123709592
2008-06-19,0.34736647782847285
2008-06-20,0.25379930483177304
2008-06-23,0.12850703778011457
2008-06-24,0.06725916851844106
2008-06-25,-0.04862523581832647
2008-06-26,0.5525834363486085
2008-06-27,-0.048836982576176524
2008-06-30,0.18076018647601208
2008-07-01,0.11903984192758799
2008-07-02,-0.03697866241314581
2008-07-03,0.10853317079062645
2008-07-04,0.1533072952181101
2008-07-07,0.12246653735637665
2008-07-08,0.005817106501622634
2008-07-09,-0.2571123178032311
2008-07-10,0.05988542093998856
2008-07-11,0.17983793309674814
2008-07-14,0.19590863014260929
2008-07-15,-0.04374367209772269
2008-07-16,0.09465680122375489
2008-07-17,0.09424658324569464
2008-07-18,-0.11735225536606529
2008-07-21,-0.006049957126379013
2008-07-22,0.06074400575688252
2008-07-23,0.02530690251539151
2008-07-24,0.11285525921951323
2008-07-25,-0.261445557905568
2008-07-28,0.47549120150506496
2008-07-29,0.3367333070685466
2008-07-30,0.2738850067059199
2008-07-31,0.24343120593291062
2008-08-01,0.06801544201488678
2008-08-04,0.09805093072354794
2008-08-05,-0.02336520312184637
2008-08-06,0.12937605132659277
2008-08-07,-0.1068366626277566
2008-08-08,0.21944712978952072
2008-08-11,0.22418833198025823
2008-08-12,-0.024907567352056504
2008-08-13,-0.19626228846609592
2008-08-14,0.1761693009485801
2008-08-18,0.0010808061131022193
2008-08-19,-0.09881454235629032
2008-08-20,0.058466082283606134
2008-08-21,0.1437396412094434
2008-08-22,0.4055455394766547
2008-08-25,0.1312367208302021
2008-08-26,-0.05459838041237423
2008-08-27,-0.07620061561465263
2008-08-28,0.1519943829625845
2008-08-29,-0.0022681030360135164
2008-09-01,0.22231548326089978
2008-09-02,0.06234016306698322
2008-09-04,-0.22211504355072975
2008-09-05,0.09507582392543554
2008-09-08,0.13917588256299496
2008-09-09,0.15154475097854933
2008-09-10,-0.027474221256044176
2008-09-11,0.0003955582013496986
2008-09-12,-0.13377883877943864
2008-09-15,-0.3242977491269509
2008-09-16,0.0531683588694585
2008-09-17,0.003176156137334673
2008-09-18,0.03468007025205427
2008-09-19,-0.10047112721949816
2008-09-22,0.05658937897533178
2008-09-23,-0.12968930095020267
2008-09-24,0.030401058960705996
2008-09-25,0.03642230401081698
2008-09-26,-0.24177009146660566
2008-09-29,0.03854790309237109
2008-09-30,0.02971410977521113
2008-10-01,-0.05118206110509003
2008-10-03,-0.24451817427244452
2008-10-06,-0.024018391120162876
2008-10-07,-0.2385855269702998
2008-10-08,-0.15351207797917035
2008-10-10,-0.350139606744051
2008-10-13,0.07526005543768406
2008-10-14,0.06965942651425537
2008-10-15,0.030832680666612253
2008-10-16,-0.11587644729982405
2008-10-17,0.11150941340362325
2008-10-20,-0.1986336186528206
2008-10-21,0.0735594573120276
2008-10-22,0.0066142020126183825
2008-10-23,0.009390994476584287
2008-10-24,-0.040933922631666064
